date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-02-24,Asia,NA,NA
2020-02-24,South America,NA,NA
2020-02-24,Oceania,NA,NA
2020-02-24,Europe,NA,NA
2020-02-24,North America,NA,NA
2020-02-24,Africa,NA,NA
2020-02-25,Asia,NA,NA
2020-02-25,Europe,NA,NA
2020-02-25,Africa,NA,NA
2020-02-25,South America,NA,NA
2020-02-25,Oceania,NA,NA
2020-02-25,North America,NA,NA
2020-02-26,Asia,NA,NA
2020-02-26,Europe,NA,NA
2020-02-26,Africa,NA,NA
2020-02-26,South America,NA,NA
2020-02-26,Oceania,NA,NA
2020-02-26,North America,NA,NA
2020-02-27,Asia,NA,NA
2020-02-27,Europe,NA,NA
2020-02-27,Africa,NA,NA
2020-02-27,South America,NA,NA
2020-02-27,Oceania,NA,NA
2020-02-27,North America,NA,NA
2020-02-28,Asia,NA,NA
2020-02-28,Europe,NA,NA
2020-02-28,Africa,NA,NA
2020-02-28,South America,NA,NA
2020-02-28,Oceania,NA,NA
2020-02-28,North America,NA,NA
2020-02-29,Asia,NA,NA
2020-02-29,Europe,NA,NA
2020-02-29,Africa,NA,NA
2020-02-29,South America,NA,NA
2020-02-29,Oceania,NA,NA
2020-02-29,North America,NA,NA
2020-03-01,Asia,0.2229021192707625,0.015034363630814188
2020-03-01,Europe,0.37685606214244544,0.006280934369040758
2020-03-01,Africa,3.1243966728187767e-4,0
2020-03-01,South America,0.004937985796758866,0
2020-03-01,Oceania,NA,NA
2020-03-01,North America,0.01060358543309422,2.4099057802486867e-4
2020-03-02,Asia,0.25014229550164463,0.012236557719967374
2020-03-02,Europe,0.4666924567541799,0.009135904536786556
2020-03-02,Africa,6.248793345637553e-4,0
2020-03-02,South America,0.004937985796758866,0
2020-03-02,Oceania,NA,NA
2020-03-02,North America,0.017592312195815415,0.001445943468149212
2020-03-03,Asia,0.2844538493093924,0.011221968763286664
2020-03-03,Europe,0.5763233111956186,0.014084519494212609
2020-03-03,Africa,8.331724460850071e-4,0
2020-03-03,South America,0.005267184849876124,0
2020-03-03,Oceania,NA,NA
2020-03-03,North America,0.022894104912362524,0.0016869340461740808
2020-03-04,Asia,0.297674250866141,0.011344949242884326
2020-03-04,Europe,0.7390566107571291,0.01903313445163866
2020-03-04,Africa,0.0018746380036912663,0
2020-03-04,South America,0.006583981062345156,0
2020-03-04,Oceania,NA,NA
2020-03-04,North America,0.032533728033357266,0.002650896358273555
2020-03-05,Asia,0.30333135292763347,0.011621655321979065
2020-03-05,Europe,0.9451854568683759,0.026646388232294125
2020-03-05,Africa,0.0019787845594518923,0
2020-03-05,South America,0.007571578221696929,0
2020-03-05,Oceania,NA,NA
2020-03-05,North America,0.05325891774349598,0.002891886936298424
2020-03-06,Asia,0.3326929424315753,0.011652400441878482
2020-03-06,Europe,1.206129730200342,0.036543618147146226
2020-03-06,Africa,0.0037492760073825327,0
2020-03-06,South America,0.011192767805986763,3.2919905311725773e-4
2020-03-06,Oceania,NA,NA
2020-03-06,North America,0.06916429589313731,0.0033738680923481616
2020-03-07,Asia,0.340440712646228,0.011406439482683156
2020-03-07,Europe,1.5593847056227552,0.04434720327231808
2020-03-07,Africa,0.0037492760073825327,0
2020-03-07,South America,0.012838763071573053,3.2919905311725773e-4
2020-03-07,Oceania,NA,NA
2020-03-07,North America,0.10724080722106656,0.0038558492483978988
2020-03-08,Asia,0.3279581939670653,0.012574754038860946
2020-03-08,Europe,1.8730507613857605,0.0711839228491286
2020-03-08,Africa,0.007498552014765065,1.0414655576062589e-4
2020-03-08,South America,0.014155559284042085,9.875971593517733e-4
2020-03-08,Oceania,NA,NA
2020-03-08,North America,0.1392925540983741,0.005060802138522242
2020-03-09,Asia,0.31289308521635173,0.012759224758257439
2020-03-09,Europe,2.3934166572935616,0.08983639461173448
2020-03-09,Africa,0.00791513823780757,1.0414655576062589e-4
2020-03-09,South America,0.016459952655862888,9.875971593517733e-4
2020-03-09,Oceania,NA,NA
2020-03-09,North America,0.15688486629418952,0.004337830404447637
2020-03-10,Asia,0.2920786390444474,0.013743068595038734
2020-03-10,Europe,2.894749418749724,0.12105073511242188
2020-03-10,Africa,0.008956603795413827,2.0829311152125178e-4
2020-03-10,South America,0.02468992898379433,9.875971593517733e-4
2020-03-10,Oceania,NA,NA
2020-03-10,North America,0.2014681232287902,0.00554278329457198
2020-03-11,Asia,0.3086502586702324,0.014849892911417695
2020-03-11,Europe,3.7078449225237273,0.16140098014989585
2020-03-11,Africa,0.00916489690693508,2.0829311152125178e-4
2020-03-11,South America,0.03193230815237401,9.875971593517733e-4
2020-03-11,Oceania,NA,NA
2020-03-11,North America,0.29810534501676256,0.006024764450621717
2020-03-12,Asia,0.3108946524228897,0.016417894026287887
2020-03-12,Europe,4.373433634297531,0.19090233854993574
2020-03-12,Africa,0.010727095243344467,3.1243966728187767e-4
2020-03-12,South America,0.03752869205536739,0.001645995265586289
2020-03-12,Oceania,NA,NA
2020-03-12,North America,0.4019722841454809,0.008434670230870404
2020-03-13,Asia,0.30379252972612475,0.01795515002125866
2020-03-13,Europe,6.031409976379775,0.2510470434171139
2020-03-13,Africa,0.012914172914317613,6.248793345637553e-4
2020-03-13,North America,0.5697017264507895,0.010362594855069353
2020-03-13,South America,0.08295816138554896,0.001645995265586289
2020-03-13,Oceania,NA,NA
2020-03-14,Asia,0.3082198269916405,0.020107308414217748
2020-03-14,Europe,7.121627917769638,0.2969168974455631
2020-03-14,Africa,0.02030857837332205,7.290258903243813e-4
2020-03-14,North America,0.7355032441318992,0.011326557167168828
2020-03-14,South America,0.10600209510375701,0.0023043933718208042
2020-03-14,Oceania,NA,NA
2020-03-15,Asia,0.33094047059730863,0.021490838809691448
2020-03-15,Europe,8.330422286793208,0.3646748560933967
2020-03-15,Africa,0.022912242267337696,7.290258903243813e-4
2020-03-15,North America,0.7851473032050221,0.013013491213342908
2020-03-15,South America,0.12213284870650264,0.0023043933718208042
2020-03-15,Oceania,NA,NA
2020-03-16,Asia,0.35581327259593576,0.02395044840164469
2020-03-16,Europe,9.732973964534462,0.4381427550767219
2020-03-16,Africa,0.03020250117058151,7.290258903243813e-4
2020-03-16,North America,1.163743501282091,0.020484199132113835
2020-03-16,South America,0.19686103376412015,0.0023043933718208042
2020-03-16,Oceania,NA,NA
2020-03-17,Asia,0.379210308839391,0.026502293353296173
2020-03-17,Europe,11.149800493114444,0.5156076122948913
2020-03-17,Africa,0.037076173850782816,9.373190018456332e-4
2020-03-17,North America,1.6035513061774762,0.02891886936298424
2020-03-17,South America,0.28409878284019346,0.003950388637407093
2020-03-17,Oceania,NA,NA
2020-03-18,Asia,0.3895099240056952,0.029300099264142985
2020-03-18,Europe,12.437011376078766,0.5923111441349951
2020-03-18,Africa,0.04572033797891477,0.0015621983364093885
